415,14819,9879,9262,36020,1722,149000,6583
181,13478,11470,11334,44511,2280,176893,6225
476,12954,15113,16884,61577,1757,202920,3888
472,25798,18472,16611,64642,4199,234583,14870
174,20664,14542,18105,54334,2357,168540,4893
117,9238,6611,8805,35080,907,114366,7773
201,14970,10421,11637,32643,1218,131036,1893
199,24690,15626,18953,49067,1442,127864,2263
76,7793,8179,8614,25603,528,131637,4794
81,10600,8933,9626,35602,334,187688,6745
826,12163,14451,18940,57072,3330,328491,17759
216,9753,10991,12131,36821,2718,217264,8820
161,7340,6121,9027,27088,1025,146513,3059
142,8722,5935,8493,30627,1164,130411,4972
52,3715,4160,7998,23123,517,114029,3200
268,5265,5681,9588,28425,1007,120485,2818
412,9261,9940,13379,36719,1470,191963,10351
573,18539,16433,17626,50619,2684,306278,13501
226,17404,13396,13195,33401,1491,197561,10456
439,8810,5624,5515,13556,162,104572,3395
809,5970,5978,6475,17021,11,90362,1068
220,8117,7155,6447,18117,102,113861,1406
339,10732,6352,4972,20203,375,129929,4887
224,6861,7985,8381,29564,2400,152200,7768
180,8073,11808,11686,34159,5236,231067,15165
342,12693,13220,15931,37354,1655,194916,5909
238,7593,6604,6120,14647,1250,89492,4727
441,6668,6596,5860,20565,928,115242,3447
687,7788,8289,7748,23365,419,116023,8219
345,7705,8283,8623,28172,1535,142739,10811
