18,17,22,20,30,10,11,15,12,10,21,41,14,10,15,0,12,23,32,12,7,9,12,9,15,32,9,9,12,9
9,10,7,10,20,7,5,10,10,7,15,23,9,6,5,1,7,16,17,2,2,6,5,5,10,18,5,3,7,3
4,5,4,7,9,4,3,2,7,7,7,9,4,1,1,0,3,5,13,0,0,1,4,4,7,6,4,1,3,3
1,0,4,5,7,1,2,4,2,4,2,5,4,1,1,1,2,0,5,0,0,1,3,3,6,6,1,0,2,2
2,0,5,6,6,1,3,6,3,2,3,3,2,2,3,5,0,1,6,3,1,2,4,3,3,5,2,2,2,3
4,0,4,7,1,5,5,9,8,6,7,3,8,3,7,9,5,5,4,6,2,5,7,5,7,6,3,9,1,8
8,4,9,13,12,9,5,7,10,4,17,9,8,3,4,5,12,17,11,3,4,6,10,8,16,12,4,7,7,9
11,14,15,22,15,11,9,14,14,11,27,14,12,16,5,14,15,23,14,7,7,9,10,10,32,23,7,10,11,8
28,25,30,41,21,19,16,22,11,18,42,34,23,17,13,19,23,27,20,14,13,15,13,15,30,33,8,16,19,10
33,40,43,39,27,26,27,30,21,19,53,29,20,27,19,19,21,37,18,13,17,22,21,21,33,36,14,13,24,11
35,44,45,35,34,34,25,21,28,30,45,29,22,26,18,19,29,51,21,11,26,18,26,17,30,39,17,16,24,14
36,38,41,43,28,32,27,30,27,37,45,33,23,30,21,26,30,48,24,9,24,22,25,20,32,38,21,20,28,21
41,42,49,59,40,30,27,41,42,36,49,33,31,33,19,29,40,54,33,19,20,18,28,25,38,40,22,26,24,26
35,38,44,55,46,39,40,50,37,39,56,55,33,27,29,33,42,64,31,22,15,21,17,29,43,45,22,21,30,21
48,41,59,58,38,36,38,54,32,39,51,49,29,31,29,33,41,56,36,19,21,25,24,28,36,44,18,28,30,24
37,43,53,47,49,45,42,51,36,44,62,44,39,36,26,38,44,54,51,28,23,30,30,37,37,46,20,25,36,27
40,38,52,64,61,47,31,50,35,39,86,65,44,42,42,43,40,59,58,39,24,26,44,43,51,54,26,39,38,39
43,35,50,68,57,56,35,49,34,48,95,69,40,39,40,37,46,64,60,37,33,33,45,44,70,48,23,41,30,39
53,58,57,86,65,39,47,60,42,59,113,60,44,41,34,33,65,72,73,34,34,48,43,47,75,56,28,37,30,52
54,55,79,97,77,47,64,57,34,67,103,61,55,53,39,35,72,85,82,50,33,36,46,64,62,55,42,38,35,63
60,67,72,103,70,42,55,53,29,68,131,57,51,51,45,46,67,129,77,44,27,36,37,57,77,53,39,35,43,67
60,76,75,90,57,44,55,57,33,63,122,45,45,48,41,45,85,132,56,35,32,37,40,56,84,56,42,33,38,61
42,68,53,72,33,38,50,46,34,61,101,39,38,39,41,32,75,102,39,19,23,28,30,48,71,38,28,28,29,41
27,52,37,51,23,19,29,22,20,43,74,30,19,33,16,29,43,62,21,10,15,15,19,27,41,17,16,18,17,26
